"query","search interest","increase percent"
"how much to tip delivery",100,"-40%"
"how much to tip hairdresser",72,"-20%"
"how much to tip movers",65,"-30%"
"how much to tip uber",62,"40%"
"how much to tip tattoo",59,"-10%"
"how much to tip massage",50,"-20%"
"how much to tip valet",42,"1%"
"how much to tip restaurant",40,"40%"
"how much to tip haircut",37,"-20%"
"how much to tip tattoo artist",34,"-20%"
"how much to tip uber driver",32,"110%"
"how much to tip for delivery",29,"-10%"
"how much are you supposed to tip",28,"-9%"
"how much to tip at restaurant",26,"100%"
"how much to tip pedicure",24,"-10%"
"doordash",24,"160%"
"how much to tip doordash",24,"160%"
"how much to tip taxi",23,"-10%"
"how much to tip delivery driver",22,"-4%"
"how much to tip for haircut",22,"-20%"
"how much to tip delivery pizza",21,"-70%"
"how much to tip nail salon",20,"-10%"
"how much to tip pizza delivery",20,"-70%"
"how much to tip housekeeping",20,"20%"
"how much to tip groomer",19,"8%"
"how much to tip barber",19,"-20%"
"tip calculator",19,"-20%"
"how much to tip massage therapist",18,"-20%"
"how much to tip for massage",18,"-30%"
"how much to tip for pedicure",17,"-10%"
"how much to tip photographer",16,"90%"
"how much to tip hair stylist",16,"-50%"
"how much to tip for tattoo",15,"4%"
"how much to tip instacart",15,"1%"
"how much to tip a hairdresser",14,"-30%"
"how much to tip tour guide",14,"80%"
"how much to tip dog groomer",13,"20%"
"how much to tip in mexico",13,"80%"
"how much to tip uber eats",11,"30%"
"how much to tip lyft",10,"-7%"
"how much to tip for nails",10,"20%"
"how much to tip grocery delivery",10,"-10%"
"how much to tip a tattoo artist",10,"-30%"
"how much to tip hotel valet",9,"10%"
"how much to tip facial",9,"2%"
"how much to tip for a haircut",9,"-10%"
"how much to tip waiter",9,"-4%"
"how much to tip cleaners",9,"20%"
"how much to tip car wash",9,"-30%"
"how much to tip on haircut",9,"2%"
